country,subnational1,threshold,area_ha,extent_2000_ha,extent_2010_ha,gain_2000-2020_ha,tc_loss_ha_2001,tc_loss_ha_2002,tc_loss_ha_2003,tc_loss_ha_2004,tc_loss_ha_2005,tc_loss_ha_2006,tc_loss_ha_2007,tc_loss_ha_2008,tc_loss_ha_2009,tc_loss_ha_2010,tc_loss_ha_2011,tc_loss_ha_2012,tc_loss_ha_2013,tc_loss_ha_2014,tc_loss_ha_2015,tc_loss_ha_2016,tc_loss_ha_2017,tc_loss_ha_2018,tc_loss_ha_2019,tc_loss_ha_2020,tc_loss_ha_2021,tc_loss_ha_2022,tc_loss_ha_2023
India,Himachal Pradesh,20,5560349,1454343,1262965,42350,348,341,88,721,335,206,362,260,431,221,53,723,69,59,16,16,86,183,171,77,129,209,341
India,Himachal Pradesh,25,5560349,1418382,1198413,42350,347,340,88,718,333,205,360,259,429,220,53,720,68,58,15,15,86,181,168,75,128,207,327
India,Himachal Pradesh,30,5560349,1367108,1147923,42350,344,338,88,716,332,204,358,258,429,219,53,717,65,55,13,14,85,177,162,72,122,202,308
India,Himachal Pradesh,50,5560349,1075540,784168,42350,306,312,79,669,303,175,321,237,394,200,45,647,49,38,7,9,70,153,130,55,97,166,210
India,Himachal Pradesh,75,5560349,548232,355045,42350,197,225,52,482,216,114,211,168,312,146,31,456,21,15,1,3,44,101,59,22,42,78,74
India,Jammu and Kashmir,0,10566005,10566005,10566005,57484,109,420,174,930,189,549,251,292,267,312,89,433,77,84,3,19,87,103,39,64,72,57,272
India,Jammu and Kashmir,10,10566005,1302403,1135724,57484,100,409,165,904,174,536,230,274,255,298,82,408,36,49,2,6,67,78,28,44,47,29,124
India,Jammu and Kashmir,15,10566005,1192437,1016987,57484,100,407,164,898,172,529,227,272,252,293,81,404,34,46,2,6,66,77,28,43,44,28,116
India,Jammu and Kashmir,20,10566005,1163216,996294,57484,99,405,164,894,171,525,224,270,251,291,81,402,32,44,2,5,66,76,28,42,43,27,111
India,Jammu and Kashmir,25,10566005,1119102,914070,57484,99,402,163,891,169,522,221,268,249,289,81,400,30,44,2,5,66,75,27,42,42,27,106
India,Jammu and Kashmir,30,10566005,1073020,872419,57484,99,400,162,890,168,519,220,267,249,288,80,399,28,41,1,5,65,72,26,41,38,25,100
India,Jammu and Kashmir,50,10566005,795512,543443,57484,86,367,138,782,146,432,179,233,221,241,67,363,17,27,0,4,63,64,22,36,22,17,60
India,Jammu and Kashmir,75,10566005,423043,262575,57484,49,270,66,479,97,240,85,158,141,134,35,263,5,7,0,1,52,49,14,20,7,8,21
India,Jharkhand,0,8003988,8003988,8003988,61611,721,168,91,353,432,665,398,659,1089,722,294,640,610,730,341,424,967,452,503,554,333,232,1689
India,Jharkhand,10,8003988,1165335,744316,61611,669,105,51,214,315,518,271,424,900,461,219,409,299,331,188,284,608,305,317,356,210,150,720
India,Jharkhand,15,8003988,904607,498754,61611,662,99,47,201,304,502,256,387,874,425,205,373,224,248,148,244,489,247,253,289,176,121,576
India,Jharkhand,20,8003988,836921,469995,61611,660,96,45,196,300,495,252,377,864,413,202,362,208,225,140,230,461,232,238,273,166,113,538
India,Jharkhand,25,8003988,716768,428239,61611,647,92,42,186,289,481,242,355,849,390,193,344,185,199,124,212,404,209,216,248,153,102,469
India,Jharkhand,30,8003988,556330,316745,61611,645,90,41,183,287,475,239,344,843,381,188,332,133,142,91,167,306,161,169,199,122,80,360
India,Jharkhand,50,8003988,109017,29748,61611,574,39,18,101,224,356,158,153,698,208,125,172,16,17,14,29,41,24,22,41,22,9,57
India,Jharkhand,75,8003988,2053,1163,61611,327,8,4,23,88,111,42,26,240,63,36,27,0,1,0,0,0,0,0,0,0,0,0
India,Karnataka,0,19137912,19137912,19137912,222397,1840,1107,1396,1588,2533,1417,4706,2799,2534,937,2420,3476,4776,4800,3006,6957,6646,7806,5936,7221,6325,7604,19143
India,Karnataka,10,19137912,2741138,2409140,222397,1786,1043,1292,1461,2370,1229,4394,2605,2389,918,1928,2808,2736,2909,1865,4325,4080,4519,3241,3616,3340,4040,6803
India,Karnataka,15,19137912,2582050,2181454,222397,1777,1033,1274,1435,2335,1199,4311,2558,2358,912,1871,2726,2561,2701,1753,4029,3787,4214,2979,3311,3094,3730,6266
India,Karnataka,20,19137912,2507158,2148290,222397,1771,1028,1266,1424,2311,1180,4272,2535,2342,909,1836,2689,2453,2584,1683,3848,3618,4040,2830,3136,2962,3554,5978
India,Karnataka,25,19137912,2417109,2070927,222397,1757,1015,1239,1394,2270,1145,4185,2479,2303,902,1786,2622,2316,2432,1598,3638,3392,3843,2654,2913,2794,3344,5617
India,Karnataka,30,19137912,2276202,1881782,222397,1751,1008,1227,1381,2246,1130,4145,2455,2286,898,1745,2546,2119,2230,1480,3310,3060,3537,2412,2619,2537,2985,5021
India,Karnataka,50,19137912,1758402,1016701,222397,1622,896,1041,1169,1909,914,3525,2045,2004,827,1432,2158,1373,1461,976,2140,1955,2453,1626,1730,1675,1954,3374
